"Sample_Name","Respiration_Rate_mg_DO_per_L_per_H_original","Respiration_Rate_mg_DO_per_kg_per_H_original","mean_squared_error_new","Respiration_Rate_mg_DO_per_L_per_H_new","Respiration_Rate_mg_DO_per_kg_per_H_new","mean_squared_error_original","b_hour","flux_mg_DO_per_m2_per_min","standard_error_hmr"
"RS_R01_INC-1",-0.299,-1.51,"0.0136973467264906",-1.034,-5.223,"0.423682043500175",-0.0411660245615662,-3.086,0.6947
"RS_R02_INC-1",-0.317,-1.681,"0.0366263044000003",-18.84,-99.881,"44.1092219933761",-0.0489356726802037,-125.6,16.56
"RS_R03_INC-1",-0.076,-0.411,"0.00787188778588746",-0.54,-2.921,"0.167453473640315",-0.0293800545158558,-2.093,1.305
"RS_R04_INC-1",-0.303,-1.66,"0.0142476989628985",-0.813,-4.454,"0.2672513341842",-0.0431531193519792,-3.522,0.5884
"RS_R05_INC-1",-0.065,-0.375,"0.115107850601283",-0.246,-1.42,"0.373070260793422",-0.0195888019576082,-113.8,66.25
"RS_R06_INC-1",-0.328,-1.854,"0.0392144446516121",-0.771,-4.357,"0.205806924100517",-0.0563279736660036,-3.855,0.7239
"RS_R07_INC-1",-0.332,-1.974,"0.2873817664",-8.64,-51.366,"11.7044127538846",-0.0455085354934982,-0.9666,0.7616
"RS_S01_INC-1",0.059,0.319,"0.0307589987441829",0.059,0.319,"0.0307589987441829",-0.00256580014986338,0.3666,0.3141
"RS_S02_INC-1",-0.079,-0.445,"0.00426490859377195",-0.181,-1.02,"0.027995998556944",-0.024838787319086,-4.066,1.494
"RS_S03_INC-1",-0.001,-0.005,"0.0159603345487779",-0.001,-0.005,"0.0159603345487779",-0.00119492155458301,2.852,3.325
"RS_S04_INC-1",-0.103,-0.495,"0.0170269151632715",-1.455,-6.996,"0.464663596266328",-0.0269861564219758,-5.613,2.626
"RS_S05_INC-1",-0.069,-0.39,"0.00204705616225919",-0.115,-0.65,"0.0408698399626958",-0.020323934133192,-0.8141,0.4821
"RS_S06_INC-1",0.109,0.577,"0.132558134019279",0.109,0.577,"0.132558134019279",0.00112583717858744,1.314,0.6704
"RS_S07_INC-1",0.045,0.241,"0.193522920752083",0.045,0.241,"0.193522920752083",0.00138948503757332,0,NA
"RS_S08_INC-1",0.008,0.044,"0.0389063302141605",0.008,0.044,"0.0389063302141605",-0.00182639693279514,-2.628,7.104
"RS_S09_INC-1",-0.008,-0.046,"0.00243020913981745",-0.029,-0.167,"0.00483936183520508",-0.0125345983251878,-27.84,22.25
"RS_S10_INC-1",-0.018,-0.102,"0.010089857523151",-0.018,-0.102,"0.010089857523151",-0.00570121081756487,-0.1322,0.2489
"RS_S11_INC-1",-0.182,-0.969,"0.0090035573670059",-0.376,-2.003,"0.097798559202531",-0.0222671943241489,-1.904,0.5037
"RS_S12_INC-1",-0.192,-1.038,"0.0974605285111542",-0.233,-1.26,"0.178664375854493",-0.0118334639856843,-0.65,0.3195
"RS_S13_INC-1",-0.043,-0.226,"0.000695233071074368",-0.365,-1.915,"0.025706881264742",-0.0116370573448591,-6.311,2.714
"RS_S14_INC-1",-0.096,-0.463,"0.0409770597667432",-0.092,-0.443,"0.0480287864408956",-0.0185859543597388,-0.2825,0.04818
"RS_S15_INC-1",0.171,0.806,"0.0987698458861894",0.171,0.806,"0.0987698458861894",0.0130757418263394,2.624,0.6805
"RS_S16_INC-1",0.066,0.325,"0.605119524547584",0.066,0.325,"0.605119524547584",-0.00468987177517606,0.5025,0.7468
"RS_S17_INC-1",-0.084,-0.477,"0.74883514351907",-0.078,-0.443,"0.783115952271963",-0.0260353704866099,-1.201,1.193
"RS_S18_INC-1",-0.017,-0.098,"0.0844708001716358",-0.017,-0.098,"0.0844708001716358",-0.002873566108392,-0.06772,0.267
"RS_S19_INC-1",-0.21,-1.103,"0.0111505920132233",-0.469,-2.464,"0.135211681753869",-0.0290693303839803,-1.144,0.3762
"RS_S20_INC-1",0.107,0.573,"17.7576465948597",0.107,0.573,"17.7576465948597",0.0197515225617107,6.348,8.058
"RS_S21_INC-1",-0.125,-0.698,"0.00157838461234567",-0.78,-4.358,"0.103524956502375",-0.0291655847380902,-27.83,6.934
"RS_S22_INC-1",-0.06,-0.343,"0.111860313816993",-0.06,-0.343,"0.111860313816993",-0.0040993507306079,-0.1993,0.05969
"RS_S23_INC-1",-0.105,-0.522,"0.000989851451247173",-1.979,-9.84,"0.401370495809225",-0.0215396990862776,-12.15,3.676
"RS_S24_INC-1",-0.129,-0.647,"0.0016337764",-2.58,-12.942,"0.165549972264856",-0.0193084959823468,-4.295,1.553
"RS_S25_INC-1",0.04,0.201,"0.00358042325658552",0.04,0.201,"0.00358042325658552",0.0033979511681583,3.037,1.025
"RS_S26_INC-1",-0.078,-0.456,"0.00436443406742976",-0.145,-0.848,"0.0143389583329436",-0.0204425936982832,-0.6806,0.294
"RS_S27_INC-1",0.05,0.282,"0.058841545892421",0.05,0.282,"0.058841545892421",-0.00679855983099633,0.1176,0.05003
"RS_S28_INC-1",0.042,0.231,"0.0125909271305247",0.042,0.231,"0.0125909271305247",-0.00419956956410663,0.1246,0.0331
"RS_S29_INC-1",0.019,0.109,"0.089382633800511",0.019,0.109,"0.089382633800511",0.000568704720430389,0.8332,1.807
