"Sample_Name","b","DO_mg_per_L_max","p_value_a","p_value_b","total_incubation_time_min","mean_squared_error","Material","b_hour"
"RS_R01_INC-1",-0.000686100409359436,8.421,3.49592933729225e-83,3.63111097190511e-14,110,0.0168538866814065,"Sediment",-0.0411660245615662
"RS_R02_INC-1",-0.000815594544670062,8.081,5.01021769684531e-58,0.000135735693009601,110,0.132660899978712,"Sediment",-0.0489356726802037
"RS_R03_INC-1",-0.000489667575264264,6.964,3.36407658882351e-60,0.00843883724575085,110,0.0831630590587023,"Sediment",-0.0293800545158558
"RS_R04_INC-1",-0.00071921865586632,8.314,7.13727057099374e-83,1.10104501515973e-14,110,0.0168399906533139,"Sediment",-0.0431531193519792
"RS_R05_INC-1",-0.000326480032626803,8.116,3.1343408667318e-75,0.000984455240690692,110,0.0314658675144482,"Sediment",-0.0195888019576082
"RS_R06_INC-1",-0.000938799561100059,7.97,2.33392113721914e-74,4.28857780540424e-13,110,0.0316575429015303,"Sediment",-0.0563279736660036
"RS_R07_INC-1",-0.000758475591558303,8.303,3.37146371152602e-66,1.35037868700195e-06,110,0.0696878170285735,"Sediment",-0.0455085354934982
"RS_S01_INC-1",-4.27633358310564e-05,7.87,1.4912481380704e-74,0.656612236061122,110,0.0318271144021589,"Soil",-0.00256580014986338
"RS_S02_INC-1",-0.000413979788651433,7.626,1.9625169018745e-69,0.00112656203651951,110,0.045388922019098,"Soil",-0.024838787319086
"RS_S03_INC-1",-1.99153592430501e-05,8.888,8.47464806427168e-105,0.452162028467635,110,0.00307596401956818,"Soil",-0.00119492155458301
"RS_S04_INC-1",-0.000449769273699596,7.618,5.89803972730099e-66,0.0017412274513903,108,0.054907790256295,"Soil",-0.0269861564219758
"RS_S05_INC-1",-0.0003387322355532,7.826,3.1354084792633e-73,0.00162451197347073,110,0.0346915181521655,"Soil",-0.020323934133192
"RS_S06_INC-1",1.87639529764573e-05,7.486,2.08464868723865e-65,0.892234910899864,108,0.0569906085419296,"Soil",0.00112583717858744
"RS_S07_INC-1",2.31580839595553e-05,8.794,2.15602673844848e-88,0.649628961996984,108,0.0106413540498219,"Soil",0.00138948503757332
"RS_S08_INC-1",-3.04399488799191e-05,8.714,4.45408938536466e-94,0.446065076872048,108,0.00635639080709391,"Soil",-0.00182639693279514
"RS_S09_INC-1",-0.000208909972086463,7.805,1.08002598693032e-73,0.0408429740551129,110,0.0333961047718879,"Soil",-0.0125345983251878
"RS_S10_INC-1",-9.50201802927479e-05,8.584,8.58739694335809e-95,0.0222902955136791,110,0.0067097026473032,"Soil",-0.00570121081756487
"RS_S11_INC-1",-0.000371119905402482,8.904,2.21389469236856e-96,1.61760913668205e-13,110,0.0062127960409498,"Soil",-0.0222671943241489
"RS_S12_INC-1",-0.000197224399761405,10.096,6.46227546752518e-82,0.00686108573703331,110,0.0276976541768742,"Soil",-0.0118334639856843
"RS_S13_INC-1",-0.000193950955747652,8.438,1.53921980463144e-87,0.000899213903497701,110,0.0119762594503317,"Soil",-0.0116370573448591
"RS_S14_INC-1",-0.000309765905995647,8.292,9.68666915948676e-82,3.34071183078839e-05,108,0.0165796627042549,"Soil",-0.0185859543597388
"RS_S15_INC-1",0.00021792903043899,8.027,5.5539602783042e-77,0.0137811948008191,110,0.0272877300113911,"Soil",0.0130757418263394
"RS_S16_INC-1",-7.81645295862677e-05,7.46,6.07416705431032e-65,0.590582386929198,110,0.0649359874155114,"Soil",-0.00468987177517606
"RS_S17_INC-1",-0.000433922841443499,7.605,7.09842729612328e-65,0.00370095817939947,108,0.0601872412777184,"Soil",-0.0260353704866099
"RS_S18_INC-1",-4.78927684731999e-05,8.954,4.82822816078911e-98,0.178165029421447,110,0.00554645820164716,"Soil",-0.002873566108392
"RS_S19_INC-1",-0.000484488839733005,8.647,2.20054870173942e-89,5.42011080906764e-13,110,0.0105797205378673,"Soil",-0.0290693303839803
"RS_S20_INC-1",0.000329192042695178,11.025,8.85149396075604e-65,0.0259849923473924,110,0.147031287698518,"Soil",0.0197515225617107
"RS_S21_INC-1",-0.00048609307896817,8.09,1.92331519669486e-74,6.54009503436134e-06,110,0.0331620289506832,"Soil",-0.0291655847380902
"RS_S22_INC-1",-6.83225121767983e-05,9.617,1.0781878481762e-90,0.160891538533783,110,0.011963483965649,"Soil",-0.0040993507306079
"RS_S23_INC-1",-0.000358994984771293,8.075,1.1699694795394e-73,0.000526992488101312,108,0.0316871702611731,"Soil",-0.0215396990862776
"RS_S24_INC-1",-0.000321808266372447,8.552,5.43521545884539e-87,5.60172337133941e-07,110,0.0128040658048704,"Soil",-0.0193084959823468
"RS_S25_INC-1",5.6632519469305e-05,8.804,3.5367140239454e-105,0.0326054375061278,110,0.00293421065766992,"Soil",0.0033979511681583
"RS_S26_INC-1",-0.000340709894971386,7.814,1.23607057565644e-73,0.00128943784024281,110,0.0334081484242736,"Soil",-0.0204425936982832
"RS_S27_INC-1",-0.000113309330516605,7.562,2.10707982680034e-68,0.367442510452547,110,0.049524357778116,"Soil",-0.00679855983099633
"RS_S28_INC-1",-6.99928260684439e-05,7.819,6.16973051305635e-74,0.479429617636825,110,0.0330667236625787,"Soil",-0.00419956956410663
"RS_S29_INC-1",9.47841200717315e-06,8.853,4.23905722735875e-96,0.804373113127897,110,0.00641939375160792,"Soil",0.000568704720430389
