"Sample_Name","Material","SpC","pH","Temp","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Respiration_R_Squared","Respiration_R_Squared_Adj","Respiration_p_Value","Total_Incubation_Time_Min","Number_Points_In_Respiration_Regression","Number_Points_Removed_Respiration_Regression","Methods_Deviation"
"RS_R01_INC-1","Sediment","717.5","7.2","19.6","-0.299","-1.51","0.678","0.672","5e-04","108","55","1","N/A"
"RS_R02_INC-1","Sediment","713.6","6.99","20","-0.317","-1.681","0.189","0.173","0.0015","108","55","1","N/A"
"RS_R03_INC-1","Sediment","716.8","6.95","20.2","-0.076","-0.411","0.177","0.162","4e-04","108","55","1","N/A"
"RS_R04_INC-1","Sediment","705.9","7.1","19.8","-0.303","-1.66","0.732","0.727","4e-04","108","55","1","N/A"
"RS_R05_INC-1","Sediment","709.4","7.01","20.1","-0.065","-0.375","0.092","0.075","5e-04","106","54","2","N/A"
"RS_R06_INC-1","Sediment","711.2","7.02","19.8","-0.328","-1.854","0.776","0.771","4e-04","106","54","2","N/A"
"RS_R07_INC-1","Sediment","733.7","7.6","19.4","-0.332","-1.974","0.32","0.307","0.0011","106","54","2","N/A"
"RS_S01_INC-1","Sediment","707.4","7.31","19.9","0.059","0.319","0.224","0.209","3e-04","106","54","2","N/A"
"RS_S02_INC-1","Sediment","705.7","7.36","20","-0.079","-0.445","0.35","0.338","2e-04","106","54","2","N/A"
"RS_S03_INC-1","Sediment","721","7.35","19.9","-0.001","-0.005","0","0.019","2e-04","106","54","2","N/A"
"RS_S04_INC-1","Sediment","739.2","7.4","20.1","-0.103","-0.495","0.176","0.16","5e-04","104","53","2","N/A"
"RS_S05_INC-1","Sediment","725.9","6.93","20.3","-0.069","-0.39","0.257","0.243","3e-04","106","54","2","N/A"
"RS_S06_INC-1","Sediment","689.2","7.4","20.1","0.109","0.577","0.324","0.311","4e-04","106","54","1","N/A"
"RS_S07_INC-1","Sediment","722.1","7.4","20.2","0.045","0.241","0.06","0.041","4e-04","104","53","2","N/A"
"RS_S08_INC-1","Sediment","722.4","7.41","20.2","0.008","0.044","0.004","0.015","3e-04","106","54","1","N/A"
"RS_S09_INC-1","Sediment","719.7","6.63","20.1","-0.008","-0.046","0.015","0.004","2e-04","106","54","2","N/A"
"RS_S10_INC-1","Sediment","745.5","6.43","19.8","-0.018","-0.102","0.047","0.029","2e-04","108","55","1","N/A"
"RS_S11_INC-1","Sediment","713.2","7.56","19.9","-0.182","-0.969","0.62","0.613","3e-04","108","55","1","N/A"
"RS_S12_INC-1","Sediment","702.6","7.2","20","-0.192","-1.038","0.559","0.551","4e-04","106","54","2","N/A"
"RS_S13_INC-1","Sediment","713.1","7.15","20","-0.043","-0.226","0.144","0.128","2e-04","106","54","2","N/A"
"RS_S14_INC-1","Sediment","730.6","7.4","20.3","-0.096","-0.463","0.368","0.355","3e-04","104","53","2","N/A"
"RS_S15_INC-1","Sediment","715.9","7.22","20.1","0.171","0.806","0.588","0.58","3e-04","108","55","1","N/A"
"RS_S16_INC-1","Sediment","719.6","7.32","20.1","0.066","0.325","0.076","0.058","5e-04","106","54","2","N/A"
"RS_S17_INC-1","Sediment","728","7.4","20.3","-0.084","-0.477","0.099","0.082","6e-04","104","53","2","N/A"
"RS_S18_INC-1","Sediment","727.7","7.25","20.1","-0.017","-0.098","0.016","0.003","3e-04","108","55","1","N/A"
"RS_S19_INC-1","Sediment","713.9","6.95","20.2","-0.21","-1.103","0.635","0.628","4e-04","106","54","2","N/A"
"RS_S20_INC-1","Sediment","706.9","7.35","20","0.107","0.573","0.04","0.022","0.0012","108","55","1","N/A"
"RS_S21_INC-1","Sediment","708.4","7.36","20","-0.125","-0.698","0.416","0.405","3e-04","106","54","2","N/A"
"RS_S22_INC-1","Sediment","702.7","6.69","20.2","-0.06","-0.343","0.134","0.117","4e-04","106","54","2","N/A"
"RS_S23_INC-1","Sediment","746.8","7.43","20.2","-0.105","-0.522","0.202","0.187","5e-04","106","54","1","N/A"
"RS_S24_INC-1","Sediment","719.5","6.92","20.3","-0.129","-0.647","0.385","0.374","4e-04","108","55","1","N/A"
"RS_S25_INC-1","Sediment","722.9","7.18","20","0.04","0.201","0.276","0.262","1e-04","106","54","2","N/A"
"RS_S26_INC-1","Sediment","721.7","7.13","20.1","-0.078","-0.456","0.44","0.429","2e-04","108","55","1","N/A"
"RS_S27_INC-1","Sediment","701.7","7.15","20.1","0.05","0.282","0.132","0.115","3e-04","106","54","2","N/A"
"RS_S28_INC-1","Sediment","717.5","7.23","20.2","0.042","0.231","0.185","0.169","2e-04","106","54","2","N/A"
"RS_S29_INC-1","Sediment","724.7","7.23","20","0.019","0.109","0.019","0.001","3e-04","108","55","1","N/A"
